               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045485,              0.0551,           0.0042419,             0.94779,             0.93919,             0.97289,             0.62711,            0.039504,            0.056619,           0.0023845,            0.006535,            0.006535,            0.006535
                  37,            0.043786,            0.053176,           0.0040246,             0.97314,             0.97115,             0.98477,             0.55268,            0.042232,            0.057727,           0.0023138,            0.006436,            0.006436,            0.006436
                  38,            0.043156,             0.05389,           0.0044689,             0.90279,             0.96676,             0.96696,             0.60973,            0.040863,            0.056299,           0.0023463,            0.006337,            0.006337,            0.006337
                  39,            0.043649,            0.055537,           0.0033406,               0.892,             0.95977,             0.97068,             0.59565,            0.039846,            0.055231,           0.0022415,            0.006238,            0.006238,            0.006238
                  40,            0.042823,            0.053412,           0.0037785,             0.97143,             0.97605,             0.98885,             0.66306,            0.035983,            0.055174,           0.0022093,            0.006139,            0.006139,            0.006139
                  41,            0.041552,            0.050966,           0.0041845,             0.98212,             0.97787,              0.9914,             0.61291,            0.036871,            0.055707,           0.0021503,             0.00604,             0.00604,             0.00604
                  42,            0.042192,            0.051436,           0.0032912,             0.97259,             0.96638,             0.97967,             0.56196,            0.046824,            0.057294,           0.0020333,            0.005941,            0.005941,            0.005941
                  43,             0.04623,            0.056338,           0.0033781,             0.98276,             0.98363,             0.99059,             0.68638,             0.03447,            0.054311,           0.0019245,            0.005842,            0.005842,            0.005842
                  44,            0.040335,            0.052124,           0.0034274,             0.98646,             0.98794,             0.99178,              0.6872,            0.034977,            0.054364,           0.0018105,            0.005743,            0.005743,            0.005743
                  45,             0.04084,            0.052268,           0.0028964,             0.98614,             0.98774,              0.9913,             0.67851,            0.034048,            0.054994,           0.0017935,            0.005644,            0.005644,            0.005644
                  46,            0.039978,            0.053287,           0.0028156,             0.98173,             0.98312,             0.98973,             0.65637,            0.038248,            0.055182,           0.0017178,            0.005545,            0.005545,            0.005545
                  47,            0.042704,            0.053607,           0.0030409,             0.98577,             0.98774,             0.99183,              0.6996,            0.032201,            0.053685,           0.0017243,            0.005446,            0.005446,            0.005446
                  48,             0.03936,            0.055248,            0.002858,             0.98802,             0.96814,             0.99148,             0.67745,            0.034229,            0.054308,           0.0016535,            0.005347,            0.005347,            0.005347
                  49,            0.039068,            0.052945,            0.002918,             0.98785,             0.98847,             0.99241,             0.68376,             0.03321,            0.053774,           0.0016627,            0.005248,            0.005248,            0.005248
                  50,            0.039013,            0.057844,           0.0026072,             0.89305,             0.94822,             0.98728,             0.57815,            0.040538,            0.056329,           0.0016056,            0.005149,            0.005149,            0.005149
                  51,            0.041965,            0.055238,           0.0025318,             0.94018,             0.98947,              0.9923,             0.68896,            0.031286,            0.053333,           0.0015701,             0.00505,             0.00505,             0.00505
                  52,            0.038275,            0.054382,           0.0027692,             0.98711,             0.98919,             0.99216,             0.67782,            0.031351,            0.052896,            0.001523,            0.004951,            0.004951,            0.004951
                  53,             0.03746,            0.055214,           0.0028489,             0.98758,             0.98842,             0.99219,             0.69815,            0.032491,            0.053152,           0.0014668,            0.004852,            0.004852,            0.004852
                  54,            0.037063,            0.052093,           0.0026469,             0.98747,             0.99119,             0.99253,             0.68075,            0.036846,            0.054239,           0.0013813,            0.004753,            0.004753,            0.004753
